参考汉字	参考读音	简要解释
淘	dau113	①搅动：拿手放进去~~。②寻找购买商品。
淘米	dau13mi21	洗米。
投	dei113	①放进，扔进：~篮。②跳进：~河。③设防搞得，想法设法解决问题：佗一脚[ih ciah]来勒[le leh]外头~的啘。
投门路	dei113-13 men13lou21	想办法，找门路：佗一脚[ih ciah]来勒[le leh]外头~的。
寻门路	zin113-13 men13lou21	见dei men lou。
摶	doe113	①将东西揉成团状：拿纸头~~落。
搂	lei13	①用手或工具紧贴着桌面或地面将东西收拢：拿台子娘[nyan]个瓜子壳~~落。②理：拿头发~一~。
搂孛相	lei32beh21sian23	闹着玩：我勒娘[leh nyan]搭佗~啘。
撩	liau113	①把垂下的部分掀起：~头发。②伸长手或利用工具向远处或水里捞东西：忒以[theh i]远咧，我~啊~勿着。
拎	'''lin44'	①提：帮我~只包。②拉，叫（人）：你搭我拿佗~过来。
拎不清	'''lin44feh4tshin21'	搞不清楚，不明白：你哪会~个萨[sah]。
〇[无字]	lah13	①拦：你覅~牢佗。②隔（出），划（出）：~出一只房间用来当客房。
掼	gue213	用力捧，扔：~物事。
掼死蛇	gue21sy44za21	耍赖到底。
掼纱帽	gue21sou44mau21/gue13 sou32mau23	指愤而辞职。
掼派头	gue21pha44dei21	摆阔气。
撤	tsheh5	①清空，整理干净：拿物事~~落，台娘[nyan]理理干净。②（从肉中）取出（骨头）：拿鸡骨头~落。
掷	zah13	投，抛：~骰子。
戳	zoh13	①放，丢（有贬义）：拿饭碗一~，走走落就算好咧。②戳：我拨[peh]勒[leh]针~着一记。③直走：伊搭~过去就是火车站咧。
捋	leh13	用手捋下：搭我拿裤脚管~~上去。
捋袖子管	leh13 zei21tsy44koe21	捋袖子：搭我~，我手娘[nyan]呒不空。
抓	tsa44	①被（指甲或爪子）划：我身娘[nyan]拨[peh]勒猫~着一记。②挠（痒）：帮我~~，痒到[tau]。
劗	tse44	①用力切，砍：去菜场娘[nyan]~点肉。②剁：拿肉~~碎。③以高于实际价格出售商品，以此谋利，宰（客）：你被~着一记啘。
〇[无字]	tsen44	扔，掷：覅~物事。
〇[无字]	tsen323	挤出：~牙膏。
斫	tsoh5	用刀类工具砍割：~稻。~柴。
〇[无字]	tsoh5	使整齐：拿柴~~齐。
抄	tshau44	①舀：~点汤喝喝。②用铲子取物：~点黄沙出来。
抄近路	tshau32jin21lou23/tshau44 jin32lou23	走比较近的一条道，从而能够较快到达目的地：倷伲~，可以快点的。
〇[无字]	tshaon34	摩擦：我腿娘[nyan]拨[peh]~落一块皮。
〇老肯[无字]	tshaon34 lau32khen23	洗澡时搓掉身上的污垢。
结	cih5	①系：~鞋衣带。②编织：~围巾。
〇[无字]	shiau44	掀，翻：~开被头，拿书~开。
抳	nyi213	搓，抵着来回擦：纸头覅~。
揿	chin34	按：~按钮。
揵	jie213	举：手~勿出来咧。
豁拳	huah21jioe44	猜拳。
〇[无字]	huah5	泼：往地娘[nyan]~点水。
〇[无字]	ih5	按，使吸水：台子娘[nyan]有点水，用块布~一~。
搕	ih5	用手遮盖：佗用手~牢的，勿让我看。
点点戳戳	tie33tie44tshoh4tshoh4	指指点点。
滥厾滥甩	le21toh4le44hue21	乱扔。
椠	chie44	削（皮）：~苹果。
〇[无字]	shie44	略开，掀，揭：门~开点。~开锅盖。
〇[无字]	shia34	略开：窗~开点。
〇[无字]	tshah5	用网兜捞鱼虾等：~鱼。
〇[无字]	diau213	放下：我拿书~勒学堂里咧。
搉	khoh5	敲击：拿鸡蛋~勒碗里。拿篓头~~清爽。
揞	en34	盖，遮：拿眼睛~没。
揞落	en33loh4	完蛋了，糟了：佗拿事体告诉我娘咧，我就算~。
纶	len113	缝：~纽头。
〇[无字]	tsou44	打麻将时拿（牌）：~牌。
〇[记音]	cih5	夹住（毛发）拔出：~眉毛。
揩	kha44	擦：拿台子~~干净。
揩油	kha32yeu23	占小便宜：佗亦~着十块铜钱。
拷边	khau32pie23	锁边。
靠[记音]	khau34	①舀：去~点水来。②打（酱油等）：去~斤黄酒来。
搀	tshe44	①扶：你去~好爷爷。②拉（手）：两个人手~好则。
捏	nyah13	①用拇指和其他手指夹住。②用手指把软的东西做成一定的形状。③（手里）拿：钞票~~好。
拣	ke323	①挑，选择。②择（菜、鱼等）：~菜。~鱼。
拾	zih13	捡：拿物事~出来。
撢	thoe34	脱（帽子），解下（手表、手链等）：拿手表~~下来。
挖袋袋	uah5 de21de44	掏口袋。
搙	nyoh13	用手揉搓：~面粉。~衣裳。
〇[无字]	shioe44	打（耳光）：~佗一记耳光。
拗	au323	折：我拿木棍~断落咧。
拗憋气	au44pih4chi21	赌气：佗~一走头。
拗手臂	au33shieu44pi44/au323-23  shieu33pi44	扳手腕。
坐	zou213	放置：拿镬子~勒炉灶娘[nyan]。
遮没	tsa44meh21	遮住：你覅~，让我看看。
掭	thie34	①理顺笔毛：~墨。②用脚蹭：拿鞋底~~干净。
〇[无字]	'''lou44'	①收拢：拿骨头~勒一堆。②轻擦，抚摸：拿台子~一遍。
〇[无字]	jieu13	粉刷（墙壁）：~墙头。
闄	iau323	对折，折叠：纸头一~两。
捂	u34	①塞，按，遮盖：~牢耳朵。②使暖：拿个热水袋~~手。
搲	u44	用手抓：~一把瓜子。
搿	geh13	抱，拥抱：拿西瓜~好，覅滚落。两个人~勒一道喏。
罅	hu34	①划伤，裂开：手娘[nyan]~着一道。②揭，掀，露出些缝隙：拿镬子~开点。
〇[无字]	hue34	①扔：佗拿我个书包~落咧。②晃，摆动：你看过[kou]只狗个尾巴~到[tau]。
亨[记音]	hen44	撕：从本子娘[nyan]~张纸头下来。
擤	hen323	捏住鼻子，用气排出鼻涕：~鼻涕。
舀	yau13	用勺等盛取：~点汤喝喝。
掖	yih13	拉：拿被头~~好。
并并堆	pin32pin23 te44	放到一起。
戗	tshian44	剪，割：伊块布一~两。
宕	daon213	①将（绳子等）往下放：~根绳下去。②（绳子等）挂：有根绳~勒树娘[nyan]。
浪[记音]	laon213	晾：太阳出来咧，拿衣裳~出去。
盖[记音]	ke34	（便后）擦：~屁股。
〇[无字]	dou13	摞，叠：碗汏好的，~出来。
查[记音]	zou213	用橡皮擦：写错个地方拿橡皮头~~落。
脗	'''min44'	抿：佗嘴唇瓣阿脚[ih ciah]~好的。
呷	hah5	喝：~开水。
渳	'''mi44'	稍微喝一点点，往往伴有抿嘴的动作：老酒~~。
朱[记音]	tsyu44	吸食：剩下来点汽水你~~落吧。
〇[无字]	shieu44	吮吸：~牛奶。
嗒	tah5	①尝：你~~看，是咸是淡。②就饭，下酒：~泡饭。伊个脚爪~~老酒蛮好个。
〇[无字]	gen13	①咬，啃：~骨头。②撞：我走路勿用心，头娘[nyan]拨[peh]~着一记。
〇[无字]	hu44	吸（香烟）：香烟~~。
吃	chih5	①用嘴吃、喝、吸等：~饭。~奶。~开水。~香烟。②在某一出售食物的地方吃：~食堂。③依靠某种事物或职业来生活：~银行饭。④消灭：~你一只炮。⑤吸收液体：~墨。⑥受：~我一拳。⑦得到，收：~着只零汤团。⑧喜欢，接受：我勿~你伊套。⑨钻，嵌：螺丝~进去交关深。
吃牢	chih21lau44	咬定：佗~我勿肯放。
吃香	chih21shian44	受欢迎：伊个物事~的。
吃准	chih32tsen23	肯定，确定，看准：佗~你勿会去。
吃透	chih32thei23	理解透彻：你课本要~，考试才会考好。
吃瘪	chih5pih5	指遇到挫折或认输。
吃……饭	chih5 ve213	干……工作：吃银行饭。
吃吃我	chih5chih5ngou55	欺欺我，欺辱我：你~啊？
吃毛栗子	chih5 mau13lih4tseh21	指食指、中指弯曲，弹人的脑门。
吃屁股	chih21phih44ku21/chih5 phi44ku21	打屁股，挨打：阿要~啊？
吃心吃苦	chih32sin21chih21ku23	吃苦受累。
吃昏脑早筋	chih21huen44 nau32tsau21cin23	
吃昏头	chih21huen44dei21	昏头了，做了混账的事。
吃排头	chih5 ba13dei21	
吃白食	chih5bah5zeh5/chih5 bah21zeh4	
开荤	khe32huen23/khe44 huen44	久食素始吃荤，或突然吃丰盛的大餐。
香	shian44	吻：~面孔。
香嘴	shian32tsyu23	接吻。
鲠	kan323	鱼刺卡在喉咙里：~着一根鱼骨头。
〇[无字]	ge13	打饱嗝：我有点~咧。
绷	pan44	①束缚，绷紧：你面孔~紧则难看的。②张着（腿）：脚覅~的，难看的。
竖	zyu13	①板起（脸）：搭[tah]你讲讲，你面孔就~起来咧。②冲：佗~上去就打。
竖进竖出	zyu21tsin44zyu44tsheh21	指板着脸走进走出给人脸色看：你看嘛，佗一天一脚[ih ciah]~。
弹眼睛	de13 nge21tsin44	瞪眼：你对我眼睛弹起则哪亨[na han]啊？
弹眼落睛	de21nge44loh4tsin21	瞪眼，睁大眼睛。
闭拢	pi33lon44	闭着（眼睛）：眼睛~。
揪紧	cieu32cin23	紧闭（双眼）：你~则眼睛哪亨[na han]啊？
霎	sah5	眨眼：眼睛一~，老母鸡变鸭。
眼泪出	nge21li44tsheh21	流泪：佗讲讲就~咧。
诡	kue323	看一下：眼睛一~，就发现佗咧。
瞄	'''miau44'	看看，扫一眼：让我来~一~。
看看叫	khoe33khoe44ciau44	看看：让我~。
资[记音]	tsy44	靠近（看），凑近（看）：看书覅~得忒以[theh i]近。
标[记音]	piau44	张望并等待：你爷勒娘[leh nyan]~你啘。
望	maon213	①远看：我~啊~啊，看勿见你走过来。②看望：我有空来~你呀。③盼望：我~你发财咧啘。
相野眼	sian44ya44nge21	指注意力不集中，看别的地方。
〇[无字]	ei34	低（投），拱（背）：看书个辰光头覅~得忒以[theh i]低。
䫨	ngau213	（头）仰起：拿头~起来，精神点。
〇[无字]	hei44	（背）弯曲：背覅~起则。
〇[无字]	hei44	寻找，翻：你勒娘[leh nyan]~点啥物事啊？
辑理[记音]	tshih32li23	寻找：我想~一只汤婆子。
吼	hei323	喘气，呼吸急促：我爬则几层楼梯就~到[tau]。
团团坐	doe13doe44zou21	围成一圈坐着：大家~。
畚	pen44	用扫帚将垃圾扫入簸箕：拿垃细~~落。
〇绒线	phan32nyon21sie23/phan44 nyon13sie21	两手把线束撑开，配合另一个人将毛线缠成线团：阿有辰光来帮我~啊？
背	pe34	①驮（物或人）：佗~着勿得了个物事转来。②背书。
驮背背	dou13pe44pe21	驮人：囡囡要~。
掮	jie213	背，扛：伊待米重到[tau]，~啊~勿动。
背暗	be21oe44	对着阴面，没有光线：看书覅~，开个灯。
畔	boe213	躲藏：你~到树后头去做啥？
孵	bou113	蹲：你~勒角落里做啥？
孵太阳	bou21tha44yan21	晒太阳。
妈[记音]	'''ma44'	身体下缩。
妈下去	'''ma44wu44chi21'	因身体下缩而矮下去：人覅~。
妈勒妈	'''ma44leh4ma21'	走路很慢很笨拙迟钝的样子：佗~过来咧。
验[记音]	nye213	①赖在地上：勿搭佗买糖，佗就~勒地娘[nyan]勿肯出来。②人软弱无力而倒下去：佗突然~下去咧。
验地皮	nye21di44bi21	赖在地上不肯起来。
眯[记音]	'''mi44'	小睡：我要~落歇的。
睏	khuen34	睡觉：我吃力到[tau]，我去~咧。
睏觉	khuen44kau21	睡觉。
牵昏[记音]	chie32huen23	打呼噜。
觉	kau34	①醒：我空早六点钟~个。②睡眠：闲着一~。
〇[无字]	khah5	压：覅~勒我身娘[nyan]。
〇[无字]	kheh5	趴在桌上睡：吃力就~落歇。
磕	kheh5	撞在硬物上：头娘[nyan]~破落咧。
磕头	kheh21dei44	
听壁角	thin44pih4koh21	偷听。
隑	ge213	①斜靠：你覅~勒墙壁娘[nyan]。②依靠：我下届[wu ka]年纪老的要~~你的。
〇[无字]	hoh5	贴近：你过去点，覅~牢我。
轧	gah13	①挤：我~着半日天总算进去咧。②拥挤：里向~到[tau]勿得了。③结交：~朋友。④核算：~账。⑤碾，压：佗个腿拨[peh]汽车~断落咧。
轧道	gah32dau23	交朋友：轧好道，轧坏道。
轧账	gah32tsan23	结算账目。
轧苗头	gah21miau44dei21/gah13 miau13dei21	看情况灵活办事，弄清情况：总算让我轧出点苗头来咧。
轧姘头	gah13 phin32dei23	乱搞男女关系。
〇[无字]	on44	成群地挤：覅全部~勒伊搭。
〇[无字]	bih13	追赶：你~勿上佗个。
〇[无字]	de213	返回：~转来拿件衣裳。
闸[记音]	zah13	赶，顺便去：~一埭。
〇[无字]	ue34	顺便短暂到访：我落班转来顺便去~一~。
豁[记音]一埭	huah5ih5da55	抽空去一趟。
豁[记音]脚	huah5ciah5	开溜。
迓	ya213	不知不觉离开，溜走：佗偷偷里~落咧。
迓迓游	ya32ya21yeu23	在外闲逛：整天~，勿做事体。
野	ya13	①指整天疯玩：你~到啥地方去嘎？②超出范围：你伊个讲得就~得去咧。
滚	kuen323	①走开，离开（贬义）：你搭我~开点。②翻滚：佗来勒[le leh]地娘[nyan]~来~去。③液体沸腾：水~咧。
兜	tei44	①绕。②口袋。
兜底翻	tei32ti21fe23	把所有东西全部翻出来。
兜远路	tei32yoe21lou23/tei44 yoe32lou23	绕远路：你哪会欢喜~个萨[sah]？
兜转来	tei44tsoe44le21	绕了一圈回来：佗亦~咧。
兜来兜去	tei44le44tei44chi21	绕来绕去：你一脚[ih ciah]勒娘[leh nyan]~做啥？
远兜远转	yoe21tei44yoe44tsoe21	兜远路。
笃笃转	toh5toh5tsoe55	团团转：我只好急到~咧啘。
摸[记音]落	moh21loh4	迷路：出去当心点，覅~。
挡	taon323	①挡住，抵挡：你覅~牢则，让我过去。②遮蔽：你拿手~牢则哪亨[na han]啊？
沰	toh5	淋：~雨。
搭	tah5	①支，架：~房子。②挂：拿毛巾~~好。③接连在一起：两根绳~牢。
搭牢	tah21lau44	附着；连接。
搭搭手	tah5tah5 shieu323	帮忙：你搭我~，我忙勿过来咧。
搭把手	tah21pu44 shieu323	见tah tah shieu。
搭界	tah32ka23	有关系：伊个事体搭你勿~。
搭腔	tah21chian44	①接着别人的话说：你覅~，听佗讲。②指接着别人话说的人。
搭嘴	tah32tsyu23	多嘴：你覅~。
着	tsah5	①穿：天冷的，你多~点衣裳。②下（棋）：倷伲来~棋吧。
脱	theh5	①将（衣服）解下：~衣裳。~裤子。②掉：~皮。
解	ga13	解开：天热的，拿衣裳~~开。
解解厌气	ka32ka23 ie44chi21	消遣：你就看看电视，~吧。
解厌气	ka33ie44chi44	见ka ka ie chi。
濑	le213	沾到：出去勿用心~着点渿泥。
囥	khaon34	藏：你拿钞票~勒罗里搭[lou li tah]嘎？
匽	ie34	①躲藏：你~到罗里搭[lou li tah]去啊？②蹑手蹑脚地行动：你依要~出去哪亨[na han]啊？
过	kou34	用清水漂洗（衣服）：衣裳要再~几遍的。
过	kou34	传染：当心我个感冒~拨[peh]你。
过门	kou44men21	指女方嫁入夫家。
过户	kou44wu21	房屋财产等换主。
过夜	kou44ya21	住宿，寄宿。
过念头	kou34 nye21dei44	过瘾：让我吃支香烟过过念头。
过意勿去	kou44i44feh4chi21	过意不去。
孛[记音]转身	beh21tsoe44sen44	转过身。
孛[记音]转头	beh21tsoe44dei44	转过头。
淴冷浴	hoh32lan21yoh23	游泳。
霍牵牵[记音]	hoh32chie21chie23	饶痒痒。
校	kau34	校正，使正确：钟再~过去三分钟。
赅	ke44	①拥有：佗~几百万的。②富裕：听说佗娘家蛮~个。
笋敲肉	sen33khau44nyoh4	比喻用竹板打屁股。
〇[无字]后	da21ghei44	将时间、次序或位置后挪：我想再~几日再讲。
挨	a44	轮：再过歇就~着你咧。
挨一挨两	a32ih21a21lian23	轮着办事。
挜	a44	硬塞，硬让；也指吃饱了仍勉强继续吃：佗硬紧拿过本书~拨我。吃饱咧就覅~咧。
䞁	ie34	量，比长度：~~长短。
搁	koh5	①架，置：拿竹头~~牢。②暂停，搁置：伊个事体先~勒娘好咧。
回头	we13dei21	①转过头。②拒绝：伊件事体我~个咧。
佮	keh5	合：倷伲~把伞。
蹲[记音]	ten44	在，呆，暂留：我已经~勒娘两个月咧。
射[记音]	za213	小便，尿（尿）：~尿。
出尿	tsheh21syu44	尿床，或尿在裤子里：细贼骨头谢头[zia dei]依~个。
落空	loh21khon44	没有达到目的，希望没有实现：你个希望~咧啘。
代[记音]	de213	换零钱：拿钞票~~散。
并[记音]	pin34	①撑：你可以~到几时？②僵持：两个人~勒娘[leh nyan]勿动。
报销	pau44siau21	①核销：你个医药费可以~个。②坏了，完了：刚买个物事亦~落咧。
搬场	poe32zan23	搬家：我要~咧。
搬人家	poe32nyin21ka23/poe44 nyin13ka21	见poe zan。
作死	tsoh32sy23	找死：你~啊！
作死	tsoh32si23	找死：你~啊！
寻死	zin13sy21	①找死：你去寻佗勿是~嘛。②自杀：佗一心想~。
寻死	zin13si21	①找死：你去寻佗勿是~嘛。②自杀：佗一心想~。
寻生意	zin13 san32i23	找工作。
帮忙	paon32maon23	
帮衬	paon32tshen23	
〇勿拢[无字]	phan44feh4lon21	（账）对不起来：伊个账目~啘。
拍账	phah32tsan23	对账。
耙分	bu13fen21	赚钱：佗一天到夜~。
买账	ma13 tsan34	承认或屈从于对方的势力或长处：佗勿买你个账。
皮	bi113	①动词，疯玩：一日到夜~勒[leh]外头。②形容词，贪玩：伊个佬小~到[tau]勿得了。
吊胃口	tiau44we44khei21/tiau34 we21khei44	引逗，引起别人兴趣又不予或不说：你老是吊我胃口。
〇[无字]	thin34	剩，余，留：你搭我~点哦。
〇剩下来[无字]	thin33zan44wu44le44	剩下来：伊个菜是我跌为[特地]~个。
〇[无字]	thaon323	平移：拿台子~过来。
〇[无字]	da213	拖延，拖拉，推迟：伊个事体再~后几日。
图死日	dou13sy44nyih21	无所事事混日子：你整日勿做事体，只会~。
图死日	dou13si44nyih21	无所事事混日子：你整日勿做事体，只会~。
荡	daon213	①逛：你俚~到罗里搭[lou li tah]去嘎？②摇动：~秋千。③心悸，慌：我个心~到[tau]。
难为	ne13we21	'枉费：你依[又]去~钞票买敖[''ngau]点物事。'
弄	non213	①摆弄：佗勒娘[leh nyan]~洗衣机的。②引逗：你覅~佗孛相[beh sian]。③做：你覅~点事体出来。
弄	lon213	①摆弄：佗勒娘[leh nyan]~洗衣机的。②引逗：你覅~佗孛相[beh sian]。③做：你覅~点事体出来。
弄头	lon21dei44	搞头：伊个事体有啥个~？
弄松	lon21son44	陷害：你竟然~我啊？
弄手脚	lon21shieu44ciah21/lon213-13 shieu33ciah4	做手脚。
弄事体	lon21zy44thi21/lon213-13 zy21thi44	引起事端。
弄笔头子	lon21pih4dei44tseh21/lon213-13 pih32dei21tseh23	写文章，多含讥讽意。
弄虚头	lon21shiu44dei21/lon213-13 shiu32dei23	耍花招。
弄孛相[记音]	lon21beh4sian21	闹着玩。
弄孛相[记音]	non21beh4sian21	闹着玩。
拉倒	la32tau23	算了：~吧，佗勿会帮你个。
拉低倒	la21 ti44 tau34	算了，语气比“拉倒”[la tau]略强些：你勿肯么~！
赖	la213	①污蔑，推卸给别人：伊个事体你勿好~拨[peh]佗个啘。②抵赖：你亦要~落咧。③耍赖：~地皮。
赖地皮	la21di44bi21	指小孩赖在地上不愿走：你看看，你依[又]勒娘[leh nyan]~咧喏。
塌死做	thah32sy21tsou23	赖皮：伊个佬小依~咧喏。
塌死做	thah32si21tsou23	赖皮：伊个佬小依~咧喏。
瞎讲	hah32kaon23	胡说，乱讲：你~，我根本朆拿你个铜钱。
瞎来	hah21le44	胡来：佗老是~，拿事体弄坏落。
瞎来腔	hah32le21chian23	
瞎乱斗	hah32loe21tei23	瞎搞，乱来：你俚覅~，要听大人闲话。
瞎天盲地	hah32thie21maon21di23	盲目。
出血	tsheh5shiuih5	①流血：我~咧，快点送我去医院。②比喻破财、破费：你大~咧啘，钞票阿够啊？
出卵	tsheh5 loe13	光着屁股。
出卵兄弟	tsheh32loe21shion21di23	指从很小的时候就很要好的兄弟。
出差错	tsheh5 tsha32tshou23	做错，有错误：工作要认真，覅~。
出花头	tsheh32hu21dei23/tsheh5 hu32dei23	出主意，使坏：你老是~来骗我。
